Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.91     0.00      300     0.00     0.00  __gnu_cxx::new_allocator<unsigned char>::new_allocator(__gnu_cxx::new_allocator<unsigned char> const&)
  0.00      0.91     0.00      300     0.00     0.00  bool __gnu_cxx::operator!=<ants::Colony const*, std::vector<ants::Colony, std::allocator<ants::Colony> > >(__gnu_cxx::__normal_iterator<ants::Colony const*, std::vector<ants::Colony, std::allocator<ants::Colony> > > const&, __gnu_cxx::__normal_iterator<ants::Colony const*, std::vector<ants::Colony, std::allocator<ants::Colony> > > const&)
  0.00      0.91     0.00      300     0.00     0.00  bool __gnu_cxx::operator!=<ants::Colony*, std::vector<ants::Colony, std::allocator<ants::Colony> > >(__gnu_cxx::__normal_iterator<ants::Colony*, std::vector<ants::Colony, std::allocator<ants::Colony> > > const&, __gnu_cxx::__normal_iterator<ants::Colony*, std::vector<ants::Colony, std::allocator<ants::Colony> > > const&)
  0.00      0.91     0.00      300     0.00     0.00  __gnu_cxx::new_allocator<unsigned char>::_M_max_size() const
  0.00      0.91     0.00      300     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::size() const
  0.00      0.91     0.00      300     0.00     0.00  std::allocator<unsigned char>::allocator(std::allocator<unsigned char> const&)
  0.00      0.91     0.00      300     0.00     0.00  void std::_Destroy_aux<true>::__destroy<unsigned char*>(unsigned char*, unsigned char*)
  0.00      0.91     0.00      300     0.00     0.00  std::_Vector_base<unsigned char, std::allocator<unsigned char> >::_Vector_impl::~_Vector_impl()
  0.00      0.91     0.00      300     0.00     0.00  std::_Vector_base<unsigned char, std::allocator<unsigned char> >::~_Vector_base()
  0.00      0.91     0.00      300     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::~vector()
  0.00      0.91     0.00      300     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >&& std::forward<std::vector<unsigned char, std::allocator<unsigned char> > >(std::remove_reference<std::vector<unsigned char, std::allocator<unsigned char> > >::type&)
  0.00      0.91     0.00      300     0.00     0.00  void std::_Destroy<unsigned char*>(unsigned char*, unsigned char*)
  0.00      0.91     0.00      300     0.00     0.00  void std::_Destroy<unsigned char*, unsigned char>(unsigned char*, unsigned char*, std::allocator<unsigned char>&)
  0.00      0.91     0.00      300     0.00     0.00  stbiw__crc32
  0.00      0.91     0.00      300     0.00     0.00  stbiw__wpcrc
  0.00      0.91     0.00      262     0.00     0.00  std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, unsigned long>, true> > >::_M_node_allocator()
  0.00      0.91     0.00      262     0.00     0.00  std::__detail::_Hashtable_ebo_helper<0, std::allocator<std::__detail::_Hash_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, unsigned long>, true> >, true>::_M_get()
  0.00      0.91     0.00      254     0.00     0.00  void __gnu_cxx::new_allocator<ants::Ant>::destroy<ants::Ant>(ants::Ant*)
  0.00      0.91     0.00      254     0.00     0.00  void __gnu_cxx::new_allocator<ants::Ant>::construct<ants::Ant, ants::Ant>(ants::Ant*, ants::Ant&&)
  0.00      0.91     0.00      254     0.00     0.00  void std::allocator_traits<std::allocator<ants::Ant> >::destroy<ants::Ant>(std::allocator<ants::Ant>&, ants::Ant*)
  0.00      0.91     0.00      254     0.00     0.00  void std::allocator_traits<std::allocator<ants::Ant> >::construct<ants::Ant, ants::Ant>(std::allocator<ants::Ant>&, ants::Ant*, ants::Ant&&)
  0.00      0.91     0.00      254     0.00     0.00  void std::__relocate_object_a<ants::Ant, ants::Ant, std::allocator<ants::Ant> >(ants::Ant*, ants::Ant*, std::allocator<ants::Ant>&)
  0.00      0.91     0.00      254     0.00     0.00  std::remove_reference<ants::Ant&>::type&& std::move<ants::Ant&>(ants::Ant&)
  0.00      0.91     0.00      241     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.91     0.00      240     0.00     0.00  std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >* std::__niter_base<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >*>(std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >*)
  0.00      0.91     0.00      216     0.00     0.00  std::vector<ants::Ant, std::allocator<ants::Ant> >::begin()
  0.00      0.91     0.00      215     0.00     0.00  init_event
  0.00      0.91     0.00      215     0.00     0.00  lock
  0.00      0.91     0.00      215     0.00     0.00  log_log
  0.00      0.91     0.00      215     0.00     0.00  stdout_callback
  0.00      0.91     0.00      215     0.00     0.00  unlock
  0.00      0.91     0.00      214     0.00     0.00  std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >* std::__addressof<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >(std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >&)
  0.00      0.91     0.00      208     0.00     0.00  __gnu_cxx::__normal_iterator<ants::Colony*, std::vector<ants::Colony, std::allocator<ants::Colony> > >::__normal_iterator(ants::Colony* const&)
  0.00      0.91     0.00      204     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, unsigned long> >::_M_ptr()
  0.00      0.91     0.00      204     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, unsigned long> >::_M_addr()
  0.00      0.91     0.00      204     0.00     0.00  std::__detail::_Hash_node_value_base<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, unsigned long> >::_M_valptr()
  0.00      0.91     0.00      202     0.00     0.00  __gnu_cxx::__normal_iterator<ants::Colony*, std::vector<ants::Colony, std::allocator<ants::Colony> > >::operator*() const
  0.00      0.91     0.00      202     0.00     0.00  std::chrono::time_point<std::chrono::_V2::steady_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >::time_since_epoch() const
  0.00      0.91     0.00      202     0.00     0.00  std::vector<ants::Ant, std::allocator<ants::Ant> >::end() const
  0.00      0.91     0.00      202     0.00     0.00  std::vector<ants::Ant, std::allocator<ants::Ant> >::begin() const
  0.00      0.91     0.00      202     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1000000000l> >::duration<long, void>(long const&)
  0.00      0.91     0.00      200     0.00     0.00  void __gnu_cxx::new_allocator<ants::Ant>::construct<ants::Ant, ants::Ant&>(ants::Ant*, ants::Ant&)
  0.00      0.91     0.00      200     0.00     0.00  __gnu_cxx::new_allocator<unsigned char>::deallocate(unsigned char*, unsigned long)
  0.00      0.91     0.00      200     0.00     0.00  __gnu_cxx::new_allocator<unsigned char>::allocate(unsigned long, void const*)
  0.00      0.91     0.00      200     0.00     0.00  __gnu_cxx::__normal_iterator<ants::Colony const*, std::vector<ants::Colony, std::allocator<ants::Colony> > >::__normal_iterator(ants::Colony const* const&)
  0.00      0.91     0.00      200     0.00     0.00  __gnu_cxx::__normal_iterator<ants::Colony const*, std::vector<ants::Colony, std::allocator<ants::Colony> > >::operator++()
  0.00      0.91     0.00      200     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >::__normal_iterator(unsigned char const* const&)
  0.00      0.91     0.00      200     0.00     0.00  __gnu_cxx::__normal_iterator<ants::Colony*, std::vector<ants::Colony, std::allocator<ants::Colony> > >::operator++()
  0.00      0.91     0.00      200     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<unsigned char, std::allocator<unsigned char> >*, std::vector<std::vector<unsigned char, std::allocator<unsigned char> >, std::allocator<std::vector<unsigned char, std::allocator<unsigned char> > > > >::__normal_iterator(std::vector<unsigned char, std::allocator<unsigned char> >* const&)
